,year,character,count
0,2004,Marth,2
1,2004,Sheik,1
2,2005,Captain Falcon,2
3,2005,Marth,4
4,2006,Marth,2
5,2007,Ice Climbers,1
6,2007,Marth,2
7,2008,Sheik,1
8,2009,Jigglypuff,1
9,2010,Falco,1
10,2010,Jigglypuff,1
11,2011,Falco,1
12,2012,Peach,1
13,2014,Fox,3
14,2014,Peach,1
15,2015,Fox,6
16,2015,Jigglypuff,2
17,2016,Fox,2
18,2016,Jigglypuff,7
19,2017,Fox,1
20,2017,Jigglypuff,9
21,2017,Peach,2
22,2018,Fox,1
23,2018,Jigglypuff,7
24,2018,Marth,1
25,2019,Captain Falcon,1
26,2019,Falco,1
27,2019,Fox,1
28,2019,Jigglypuff,6
29,2019,Pikachu,1
30,2020,Captain Falcon,1
31,2020,Falco,2
32,2020,Jigglypuff,1
33,2020,Marth,6
34,2021,Captain Falcon,3
35,2021,Falco,1
36,2021,Fox,2
37,2021,Marth,4
38,2022,Falco,1
39,2022,Fox,2
40,2022,Jigglypuff,2
41,2022,Marth,5
42,2022,Yoshi,3
43,2023,Fox,4
44,2023,Marth,4
45,2023,Sheik,3
