,support,itemsets
0,0.21052631578947367,frozenset({'Captain Falcon'})
1,0.3157894736842105,frozenset({'Falco'})
2,0.47368421052631576,frozenset({'Fox'})
3,0.05263157894736842,frozenset({'Ice Climbers'})
4,0.47368421052631576,frozenset({'Jigglypuff'})
5,0.47368421052631576,frozenset({'Marth'})
6,0.15789473684210525,frozenset({'Peach'})
7,0.05263157894736842,frozenset({'Pikachu'})
8,0.15789473684210525,frozenset({'Sheik'})
9,0.05263157894736842,frozenset({'Yoshi'})
10,0.15789473684210525,"frozenset({'Captain Falcon', 'Falco'})"
11,0.10526315789473684,"frozenset({'Captain Falcon', 'Fox'})"
12,0.10526315789473684,"frozenset({'Captain Falcon', 'Jigglypuff'})"
13,0.15789473684210525,"frozenset({'Captain Falcon', 'Marth'})"
14,0.05263157894736842,"frozenset({'Pikachu', 'Captain Falcon'})"
15,0.15789473684210525,"frozenset({'Fox', 'Falco'})"
16,0.21052631578947367,"frozenset({'Jigglypuff', 'Falco'})"
17,0.15789473684210525,"frozenset({'Marth', 'Falco'})"
18,0.05263157894736842,"frozenset({'Pikachu', 'Falco'})"
19,0.05263157894736842,"frozenset({'Yoshi', 'Falco'})"
20,0.3157894736842105,"frozenset({'Jigglypuff', 'Fox'})"
21,0.21052631578947367,"frozenset({'Marth', 'Fox'})"
22,0.10526315789473684,"frozenset({'Peach', 'Fox'})"
23,0.05263157894736842,"frozenset({'Pikachu', 'Fox'})"
24,0.05263157894736842,"frozenset({'Sheik', 'Fox'})"
25,0.05263157894736842,"frozenset({'Yoshi', 'Fox'})"
26,0.05263157894736842,"frozenset({'Ice Climbers', 'Marth'})"
27,0.15789473684210525,"frozenset({'Marth', 'Jigglypuff'})"
28,0.05263157894736842,"frozenset({'Peach', 'Jigglypuff'})"
29,0.05263157894736842,"frozenset({'Pikachu', 'Jigglypuff'})"
30,0.05263157894736842,"frozenset({'Yoshi', 'Jigglypuff'})"
31,0.10526315789473684,"frozenset({'Sheik', 'Marth'})"
32,0.05263157894736842,"frozenset({'Yoshi', 'Marth'})"
33,0.10526315789473684,"frozenset({'Captain Falcon', 'Fox', 'Falco'})"
34,0.10526315789473684,"frozenset({'Captain Falcon', 'Jigglypuff', 'Falco'})"
35,0.10526315789473684,"frozenset({'Captain Falcon', 'Marth', 'Falco'})"
36,0.05263157894736842,"frozenset({'Pikachu', 'Captain Falcon', 'Falco'})"
37,0.05263157894736842,"frozenset({'Captain Falcon', 'Jigglypuff', 'Fox'})"
38,0.05263157894736842,"frozenset({'Captain Falcon', 'Marth', 'Fox'})"
39,0.05263157894736842,"frozenset({'Pikachu', 'Captain Falcon', 'Fox'})"
40,0.05263157894736842,"frozenset({'Captain Falcon', 'Marth', 'Jigglypuff'})"
41,0.05263157894736842,"frozenset({'Pikachu', 'Captain Falcon', 'Jigglypuff'})"
42,0.10526315789473684,"frozenset({'Fox', 'Jigglypuff', 'Falco'})"
43,0.10526315789473684,"frozenset({'Fox', 'Marth', 'Falco'})"
44,0.05263157894736842,"frozenset({'Pikachu', 'Fox', 'Falco'})"
45,0.05263157894736842,"frozenset({'Yoshi', 'Fox', 'Falco'})"
46,0.10526315789473684,"frozenset({'Jigglypuff', 'Marth', 'Falco'})"
47,0.05263157894736842,"frozenset({'Pikachu', 'Jigglypuff', 'Falco'})"
48,0.05263157894736842,"frozenset({'Yoshi', 'Jigglypuff', 'Falco'})"
49,0.05263157894736842,"frozenset({'Yoshi', 'Marth', 'Falco'})"
50,0.10526315789473684,"frozenset({'Jigglypuff', 'Marth', 'Fox'})"
51,0.05263157894736842,"frozenset({'Jigglypuff', 'Peach', 'Fox'})"
52,0.05263157894736842,"frozenset({'Pikachu', 'Jigglypuff', 'Fox'})"
53,0.05263157894736842,"frozenset({'Yoshi', 'Jigglypuff', 'Fox'})"
54,0.05263157894736842,"frozenset({'Sheik', 'Marth', 'Fox'})"
55,0.05263157894736842,"frozenset({'Yoshi', 'Marth', 'Fox'})"
56,0.05263157894736842,"frozenset({'Yoshi', 'Marth', 'Jigglypuff'})"
57,0.05263157894736842,"frozenset({'Captain Falcon', 'Fox', 'Jigglypuff', 'Falco'})"
58,0.05263157894736842,"frozenset({'Captain Falcon', 'Fox', 'Marth', 'Falco'})"
59,0.05263157894736842,"frozenset({'Pikachu', 'Captain Falcon', 'Fox', 'Falco'})"
60,0.05263157894736842,"frozenset({'Captain Falcon', 'Jigglypuff', 'Marth', 'Falco'})"
61,0.05263157894736842,"frozenset({'Pikachu', 'Captain Falcon', 'Jigglypuff', 'Falco'})"
62,0.05263157894736842,"frozenset({'Pikachu', 'Captain Falcon', 'Jigglypuff', 'Fox'})"
63,0.05263157894736842,"frozenset({'Fox', 'Marth', 'Jigglypuff', 'Falco'})"
64,0.05263157894736842,"frozenset({'Pikachu', 'Fox', 'Jigglypuff', 'Falco'})"
65,0.05263157894736842,"frozenset({'Yoshi', 'Fox', 'Jigglypuff', 'Falco'})"
66,0.05263157894736842,"frozenset({'Yoshi', 'Fox', 'Marth', 'Falco'})"
67,0.05263157894736842,"frozenset({'Yoshi', 'Jigglypuff', 'Marth', 'Falco'})"
68,0.05263157894736842,"frozenset({'Yoshi', 'Jigglypuff', 'Marth', 'Fox'})"
69,0.05263157894736842,"frozenset({'Falco', 'Captain Falcon', 'Fox', 'Pikachu', 'Jigglypuff'})"
70,0.05263157894736842,"frozenset({'Falco', 'Yoshi', 'Marth', 'Fox', 'Jigglypuff'})"
