year,character
2023,Fox
2023,Sheik
2023,Fox
2023,Marth
2023,Marth
2023,Marth
2023,Marth
2023,Fox
2023,Fox
2023,Sheik
2023,Sheik
2022,Yoshi
2022,Falco
2022,Yoshi
2022,Marth
2022,Yoshi
2022,Jigglypuff
2022,Marth
2022,Fox
2022,Jigglypuff
2022,Fox
2022,Marth
2022,Marth
2022,Marth
2021,Fox
2021,Captain Falcon
2021,Marth
2021,Fox
2021,Marth
2021,Captain Falcon
2021,Marth
2021,Falco
2021,Captain Falcon
2021,Marth
2020,Marth
2020,Marth
2020,Marth
2020,Marth
2020,Falco
2020,Falco
2020,Marth
2020,Captain Falcon
2020,Jigglypuff
2020,Marth
2019,Jigglypuff
2019,Jigglypuff
2019,Fox
2019,Jigglypuff
2019,Jigglypuff
2019,Pikachu
2019,Captain Falcon
2019,Falco
2019,Jigglypuff
2019,Jigglypuff
2018,Jigglypuff
2018,Jigglypuff
2018,Jigglypuff
2018,Marth
2018,Fox
2018,Jigglypuff
2018,Jigglypuff
2018,Jigglypuff
2018,Jigglypuff
2017,Jigglypuff
2017,Jigglypuff
2017,Jigglypuff
2017,Jigglypuff
2017,Jigglypuff
2017,Fox
2017,Peach
2017,Jigglypuff
2017,Jigglypuff
2017,Jigglypuff
2017,Jigglypuff
2017,Peach
2016,Fox
2016,Jigglypuff
2016,Jigglypuff
2016,Jigglypuff
2016,Fox
2016,Jigglypuff
2016,Jigglypuff
2016,Jigglypuff
2016,Jigglypuff
2015,Jigglypuff
2015,Fox
2015,Fox
2015,Fox
2015,Fox
2015,Fox
2015,Jigglypuff
2015,Fox
2014,Fox
2014,Fox
2014,Fox
2014,Peach
2012,Peach
2011,Falco
2010,Falco
2010,Jigglypuff
2009,Jigglypuff
2008,Sheik
2007,Marth
2007,Marth
2007,Ice Climbers
2006,Marth
2006,Marth
2005,Captain Falcon
2005,Marth
2005,Marth
2005,Marth
2005,Marth
2005,Captain Falcon
2004,Marth
2004,Sheik
2004,Marth
