,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'Captain Falcon'}),frozenset({'Falco'}),0.21052631578947367,0.3157894736842105,0.15789473684210525,0.75,2.375,0.09141274238227147,2.736842105263158,0.7333333333333334
1,frozenset({'Captain Falcon'}),frozenset({'Marth'}),0.21052631578947367,0.47368421052631576,0.15789473684210525,0.75,1.5833333333333335,0.05817174515235457,2.105263157894737,0.46666666666666673
2,frozenset({'Pikachu'}),frozenset({'Captain Falcon'}),0.05263157894736842,0.21052631578947367,0.05263157894736842,1.0,4.75,0.04155124653739612,inf,0.8333333333333333
3,frozenset({'Pikachu'}),frozenset({'Falco'}),0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
4,frozenset({'Yoshi'}),frozenset({'Falco'}),0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
5,frozenset({'Pikachu'}),frozenset({'Fox'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
6,frozenset({'Yoshi'}),frozenset({'Fox'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
7,frozenset({'Ice Climbers'}),frozenset({'Marth'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
8,frozenset({'Pikachu'}),frozenset({'Jigglypuff'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
9,frozenset({'Yoshi'}),frozenset({'Jigglypuff'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
10,frozenset({'Yoshi'}),frozenset({'Marth'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
11,"frozenset({'Fox', 'Captain Falcon'})",frozenset({'Falco'}),0.10526315789473684,0.3157894736842105,0.10526315789473684,1.0,3.166666666666667,0.07202216066481995,inf,0.7647058823529413
12,"frozenset({'Captain Falcon', 'Jigglypuff'})",frozenset({'Falco'}),0.10526315789473684,0.3157894736842105,0.10526315789473684,1.0,3.166666666666667,0.07202216066481995,inf,0.7647058823529413
13,"frozenset({'Pikachu', 'Captain Falcon'})",frozenset({'Falco'}),0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
14,"frozenset({'Pikachu', 'Falco'})",frozenset({'Captain Falcon'}),0.05263157894736842,0.21052631578947367,0.05263157894736842,1.0,4.75,0.04155124653739612,inf,0.8333333333333333
15,frozenset({'Pikachu'}),"frozenset({'Captain Falcon', 'Falco'})",0.05263157894736842,0.15789473684210525,0.05263157894736842,1.0,6.333333333333334,0.0443213296398892,inf,0.8888888888888888
16,"frozenset({'Pikachu', 'Fox'})",frozenset({'Captain Falcon'}),0.05263157894736842,0.21052631578947367,0.05263157894736842,1.0,4.75,0.04155124653739612,inf,0.8333333333333333
17,"frozenset({'Pikachu', 'Captain Falcon'})",frozenset({'Fox'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
18,frozenset({'Pikachu'}),"frozenset({'Fox', 'Captain Falcon'})",0.05263157894736842,0.10526315789473684,0.05263157894736842,1.0,9.5,0.047091412742382266,inf,0.9444444444444443
19,"frozenset({'Pikachu', 'Captain Falcon'})",frozenset({'Jigglypuff'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
20,"frozenset({'Pikachu', 'Jigglypuff'})",frozenset({'Captain Falcon'}),0.05263157894736842,0.21052631578947367,0.05263157894736842,1.0,4.75,0.04155124653739612,inf,0.8333333333333333
21,frozenset({'Pikachu'}),"frozenset({'Captain Falcon', 'Jigglypuff'})",0.05263157894736842,0.10526315789473684,0.05263157894736842,1.0,9.5,0.047091412742382266,inf,0.9444444444444443
22,"frozenset({'Pikachu', 'Fox'})",frozenset({'Falco'}),0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
23,"frozenset({'Pikachu', 'Falco'})",frozenset({'Fox'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
24,frozenset({'Pikachu'}),"frozenset({'Fox', 'Falco'})",0.05263157894736842,0.15789473684210525,0.05263157894736842,1.0,6.333333333333334,0.0443213296398892,inf,0.8888888888888888
25,"frozenset({'Yoshi', 'Fox'})",frozenset({'Falco'}),0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
26,"frozenset({'Yoshi', 'Falco'})",frozenset({'Fox'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
27,frozenset({'Yoshi'}),"frozenset({'Fox', 'Falco'})",0.05263157894736842,0.15789473684210525,0.05263157894736842,1.0,6.333333333333334,0.0443213296398892,inf,0.8888888888888888
28,"frozenset({'Pikachu', 'Jigglypuff'})",frozenset({'Falco'}),0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
29,"frozenset({'Pikachu', 'Falco'})",frozenset({'Jigglypuff'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
30,frozenset({'Pikachu'}),"frozenset({'Jigglypuff', 'Falco'})",0.05263157894736842,0.21052631578947367,0.05263157894736842,1.0,4.75,0.04155124653739612,inf,0.8333333333333333
31,"frozenset({'Yoshi', 'Jigglypuff'})",frozenset({'Falco'}),0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
32,"frozenset({'Yoshi', 'Falco'})",frozenset({'Jigglypuff'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
33,frozenset({'Yoshi'}),"frozenset({'Jigglypuff', 'Falco'})",0.05263157894736842,0.21052631578947367,0.05263157894736842,1.0,4.75,0.04155124653739612,inf,0.8333333333333333
34,"frozenset({'Marth', 'Yoshi'})",frozenset({'Falco'}),0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
35,"frozenset({'Yoshi', 'Falco'})",frozenset({'Marth'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
36,frozenset({'Yoshi'}),"frozenset({'Marth', 'Falco'})",0.05263157894736842,0.15789473684210525,0.05263157894736842,1.0,6.333333333333334,0.0443213296398892,inf,0.8888888888888888
37,"frozenset({'Jigglypuff', 'Peach'})",frozenset({'Fox'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
38,"frozenset({'Pikachu', 'Fox'})",frozenset({'Jigglypuff'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
39,"frozenset({'Pikachu', 'Jigglypuff'})",frozenset({'Fox'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
40,frozenset({'Pikachu'}),"frozenset({'Fox', 'Jigglypuff'})",0.05263157894736842,0.3157894736842105,0.05263157894736842,1.0,3.166666666666667,0.036011080332409975,inf,0.7222222222222222
41,"frozenset({'Yoshi', 'Fox'})",frozenset({'Jigglypuff'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
42,"frozenset({'Yoshi', 'Jigglypuff'})",frozenset({'Fox'}),0.05263157894736842,0.47368421052631576,0.05263157894736842,1.0,2.111111111111111,0.027700831024930747,inf,0.5555555555555555
